"pmid"	"score"	"indicator"
"9887103"	1.0	1
"18171686"	0.7700778245925903	1
"20346940"	0.763576090335846	1
"18820452"	0.738086462020874	1
"19004854"	0.7321065664291382	1
"22563507"	0.7200201749801636	1
"12581521"	0.713524580001831	1
"23485686"	0.7081319093704224	1
"25255438"	0.6908078193664551	1
"23664613"	0.6858409643173218	1
"19766717"	0.6846738457679749	1
"15473904"	0.6831580996513367	1
"16098524"	0.6791347861289978	1
"28123053"	0.6788442730903625	1
"28108836"	0.6735885739326477	1
"23293296"	0.6730834245681763	1
"10357889"	0.6704995632171631	1
"10320478"	0.6674901843070984	1
"9813169"	0.6665197610855103	1
"23416177"	0.654633641242981	1
"10831835"	0.6504675149917603	1
"17119022"	0.6443883180618286	1
"28130362"	0.6415610313415527	0
"18588885"	0.6414334774017334	1
"16951053"	0.640296459197998	1
"24706779"	0.6356830596923828	1
"18077144"	0.620165228843689	1
"16437159"	0.6120221018791199	1
"25633355"	0.6094465255737305	1
"24680699"	0.6079354286193848	1
"10712925"	0.6078925728797913	0
"17119021"	0.6068230867385864	1
"22874913"	0.5995965003967285	1
"17434471"	0.5989205837249756	1
"17651718"	0.5967666506767273	1
"30049242"	0.594309389591217	1
"18054857"	0.580681324005127	1
"21613324"	0.5772409439086914	1
"29615416"	0.5747721791267395	0
"15046717"	0.573277473449707	0
"23072462"	0.5660958290100098	0
"25284780"	0.5641087889671326	1
"28748922"	0.5636200308799744	1
"24244197"	0.5619776248931885	1
"28853393"	0.5576674342155457	1
"23345225"	0.5497560501098633	1
"26667894"	0.5496684312820435	0
"15018941"	0.5463349223136902	0
"24912777"	0.5432225465774536	0
"14605208"	0.5371173024177551	0
"20800474"	0.5333628058433533	0
"28739899"	0.5326396226882935	1
"24793180"	0.5304182767868042	0
"28178568"	0.517699658870697	1
"20220848"	0.5014607310295105	0
"22936248"	0.48555296659469604	0
"10731132"	0.47568684816360474	0
"17569856"	0.47409573197364807	0
"24462039"	0.46387091279029846	1
"12537574"	0.4508993923664093	0
"17569867"	0.43465104699134827	0
"12537572"	0.39838123321533203	0
"12537568"	0.38159772753715515	0
"26109357"	0.370184987783432	0
"23071443"	0.36988672614097595	0
"28421183"	0.36232292652130127	0
"10733523"	0.3592820167541504	0
"26109356"	0.35335877537727356	0
"12537573"	0.34168586134910583	0
"16110336"	0.33320438861846924	0
"25312911"	0.2946885824203491	0
