"pmid"	"score"	"indicator"
"9887103"	1.0	1
"10320478"	0.8779383301734924	1
"20346940"	0.8694853186607361	1
"17119022"	0.8434890508651733	1
"12581521"	0.8408998847007751	1
"23293296"	0.8363168835639954	1
"22563507"	0.8178232908248901	1
"17119021"	0.8172060251235962	1
"24706779"	0.813490629196167	1
"25255438"	0.8104475736618042	1
"16437159"	0.8093698620796204	1
"19766717"	0.8079355955123901	1
"18820452"	0.8073562383651733	1
"25633355"	0.8067716956138611	1
"9813169"	0.8061860203742981	1
"18588885"	0.8030332326889038	1
"19004854"	0.802139937877655	1
"10357889"	0.7987509369850159	1
"16098524"	0.7983337044715881	1
"16951053"	0.7965447306632996	1
"17651718"	0.7965004444122314	1
"15473904"	0.7939724922180176	1
"30049242"	0.7884007096290588	1
"22874913"	0.7844593524932861	1
"23416177"	0.7783399820327759	1
"10831835"	0.777236819267273	1
"18077144"	0.7755218744277954	1
"28108836"	0.7746549248695374	1
"28123053"	0.7736347913742065	1
"23664613"	0.7725911736488342	1
"18171686"	0.7694700360298157	1
"25284780"	0.7500497102737427	1
"10712925"	0.7496801614761353	0
"24462039"	0.7495882511138916	1
"18054857"	0.7427713871002197	1
"29615416"	0.7380402684211731	0
"14605208"	0.7313445210456848	0
"28748922"	0.727303147315979	1
"28130362"	0.7252534031867981	0
"20220848"	0.7232170701026917	0
"26667894"	0.7204214930534363	0
"28853393"	0.7126180529594421	1
"12537574"	0.7056390047073364	0
"28178568"	0.7051969766616821	1
"12537572"	0.6984351277351379	0
"24793180"	0.6946648359298706	0
"10731132"	0.6891189813613892	0
"21613324"	0.6876779198646545	1
"24680699"	0.6866546869277954	1
"23485686"	0.6760365962982178	1
"22936248"	0.6746124625205994	0
"15018941"	0.6742994785308838	0
"17434471"	0.6704288125038147	1
"23345225"	0.6691274642944336	1
"20800474"	0.666301965713501	0
"23072462"	0.6632453203201294	0
"28739899"	0.6622341275215149	1
"12537573"	0.6579042673110962	0
"24244197"	0.6442084908485413	1
"17569867"	0.6413986682891846	0
"17569856"	0.6303261518478394	0
"24912777"	0.6077055335044861	0
"23071443"	0.6076574325561523	0
"28421183"	0.6049469709396362	0
"25312911"	0.6032974720001221	0
"12537568"	0.5718623399734497	0
"16110336"	0.5456249117851257	0
"26109357"	0.5374061465263367	0
"26109356"	0.5013959407806396	0
"15046717"	0.4300670623779297	0
"10733523"	0.30555492639541626	0
