"pmid"	"score"	"indicator"
"9887103"	1.0	1
"10357889"	0.9608352184295654	1
"18820452"	0.9576318860054016	1
"22563507"	0.954452633857727	1
"10320478"	0.9533365964889526	1
"19004854"	0.9522227048873901	1
"9813169"	0.9493350982666016	1
"17434471"	0.9465684294700623	1
"20346940"	0.9434112906455994	1
"16098524"	0.9431915879249573	1
"17119021"	0.941778838634491	1
"19766717"	0.9375298619270325	1
"16951053"	0.9368987679481506	1
"23293296"	0.9360389709472656	1
"18077144"	0.9326229691505432	1
"22874913"	0.9302894473075867	1
"23416177"	0.9295680522918701	1
"12581521"	0.9292907118797302	1
"18171686"	0.925324022769928	1
"25255438"	0.9252480864524841	1
"15473904"	0.9233357906341553	1
"18588885"	0.9218592643737793	1
"23664613"	0.9217594861984253	1
"24706779"	0.9210602641105652	1
"17119022"	0.919726550579071	1
"30049242"	0.9193083047866821	1
"17651718"	0.9154635071754456	1
"28108836"	0.9123176336288452	1
"29615416"	0.9120416641235352	0
"10831835"	0.9119392037391663	1
"25284780"	0.9116376042366028	1
"24680699"	0.9108392596244812	1
"16437159"	0.909507155418396	1
"25633355"	0.9050583839416504	1
"18054857"	0.9047426581382751	1
"21613324"	0.9020934104919434	1
"26667894"	0.9010834097862244	0
"28123053"	0.9006961584091187	1
"23485686"	0.8962860107421875	1
"28748922"	0.8944082260131836	1
"24244197"	0.8928676843643188	1
"10712925"	0.8908990621566772	0
"28853393"	0.8896501660346985	1
"23345225"	0.8893023729324341	1
"28130362"	0.8891534209251404	0
"28178568"	0.8833426833152771	1
"28739899"	0.8688631653785706	1
"22936248"	0.867496907711029	0
"15046717"	0.8605932593345642	0
"23072462"	0.8600772023200989	0
"20220848"	0.8585844039916992	0
"16110336"	0.8559079766273499	0
"24462039"	0.8535014986991882	1
"12537573"	0.8520622253417969	0
"12537572"	0.8516864776611328	0
"24912777"	0.8511609435081482	0
"20800474"	0.8499888181686401	0
"12537574"	0.8490643501281738	0
"28421183"	0.844962477684021	0
"25312911"	0.8408872485160828	0
"26109357"	0.8396917581558228	0
"14605208"	0.8376277089118958	0
"24793180"	0.835136890411377	0
"15018941"	0.833673357963562	0
"17569867"	0.8336604833602905	0
"17569856"	0.8299186825752258	0
"23071443"	0.8260781168937683	0
"10731132"	0.8163765668869019	0
"12537568"	0.8105292916297913	0
"26109356"	0.795653760433197	0
"10733523"	0.6797956228256226	0
