"pmid"	"score"	"indicator"
"9887103"	1.0	1
"20346940"	0.7911935448646545	1
"19004854"	0.7615663409233093	1
"22563507"	0.7565314769744873	1
"18171686"	0.7526023983955383	1
"28123053"	0.7486580610275269	1
"25255438"	0.7402421236038208	1
"10831835"	0.7388201355934143	1
"23664613"	0.735784649848938	1
"23485686"	0.7299573421478271	1
"18820452"	0.7231726050376892	1
"10320478"	0.7064604759216309	1
"10712925"	0.7029470205307007	0
"28130362"	0.7026642560958862	0
"18588885"	0.7025160193443298	1
"24706779"	0.7016335129737854	1
"16098524"	0.6950346827507019	1
"9813169"	0.694530725479126	1
"12581521"	0.6929370760917664	1
"17651718"	0.6889440417289734	1
"23416177"	0.6845774054527283	1
"15473904"	0.674668550491333	1
"19766717"	0.6732681393623352	1
"23293296"	0.6679133772850037	1
"10357889"	0.6605208516120911	1
"25633355"	0.6598093509674072	1
"17119021"	0.6583754420280457	1
"28748922"	0.6559889912605286	1
"28108836"	0.6556435823440552	1
"17119022"	0.6548783779144287	1
"17434471"	0.6534532308578491	1
"16437159"	0.6498121619224548	1
"28178568"	0.6469855904579163	1
"26667894"	0.6455817222595215	0
"30049242"	0.6410825252532959	1
"24680699"	0.6358948349952698	1
"18077144"	0.6241126656532288	1
"21613324"	0.6233202815055847	1
"25284780"	0.6208115816116333	1
"23072462"	0.6204938888549805	0
"24244197"	0.6157862544059753	1
"23345225"	0.613554060459137	1
"15018941"	0.6133671402931213	0
"16951053"	0.6125154495239258	1
"28739899"	0.6054366827011108	1
"18054857"	0.6000958681106567	1
"29615416"	0.5959072113037109	0
"20220848"	0.5903844833374023	0
"20800474"	0.5872648358345032	0
"22936248"	0.5782873630523682	0
"24793180"	0.5782230496406555	0
"24912777"	0.5695374011993408	0
"15046717"	0.5685126781463623	0
"14605208"	0.5601708292961121	0
"28853393"	0.5537558197975159	1
"24462039"	0.5451946258544922	1
"22874913"	0.5439197421073914	1
"10731132"	0.5259537100791931	0
"28421183"	0.5143202543258667	0
"17569856"	0.49459218978881836	0
"17569867"	0.4201940596103668	0
"16110336"	0.41259345412254333	0
"12537572"	0.4074696898460388	0
"26109357"	0.39157834649086	0
"10733523"	0.3829646706581116	0
"25312911"	0.38237684965133667	0
"12537574"	0.37799277901649475	0
"26109356"	0.3709428012371063	0
"12537573"	0.355032354593277	0
"23071443"	0.3527541160583496	0
"12537568"	0.30803945660591125	0
