"pmid"	"text"	"hit"
"32698014"	"Tissue-Specific Regulation of the Wnt/β-Catenin Pathway by PAGE4 Inhibition of Tankyrase.Spatiotemporal control of Wnt/β-catenin signaling is critical for organism development and homeostasis. The poly-(ADP)-ribose polymerase Tankyrase (TNKS1) promotes Wnt/β-catenin signaling through PARylation-mediated degradation of AXIN1, a component of the β-catenin destruction complex. Although Wnt/β-catenin is a niche-restricted signaling program, tissue-specific factors that regulate TNKS1 are not known. Here, we report prostate-associated gene 4 (PAGE4) as a tissue-specific TNKS1 inhibitor that robustly represses canonical Wnt/β-catenin signaling in human cells, zebrafish, and mice. Structural and biochemical studies reveal that PAGE4 acts as an optimal substrate decoy that potently hijacks substrate binding sites on TNKS1 to prevent AXIN1 PARylation and degradation. Consistently, transgenic expression of PAGE4 in mice phenocopies TNKS1 knockout. Physiologically, PAGE4 is selectively expressed in stromal prostate fibroblasts and functions to establish a proper Wnt/β-catenin signaling niche through suppression of autocrine signaling. Our findings reveal a non-canonical mechanism for TNKS1 inhibition that functions to establish tissue-specific control of the Wnt/β-catenin pathway."	1
"32521278"	"Enhancer-Driven lncRNA BDNF-AS Induces Endocrine Resistance and Malignant Progression of Breast Cancer through the RNH1/TRIM21/mTOR Cascade.Epigenomic alterations can give rise to various tumor-promoting properties, including therapeutic resistance of cancer cells. Here, we identify an lncRNA, BDNF-AS, whose overexpression is specifically driven by a MEF2A-regulated enhancer in endocrine-resistant and triple-negative breast cancer (TNBC). High levels of BDNF-AS in breast cancer tissues not only feature endocrine resistance in hormone receptor (HR)-positive patients but also correlate with poor outcomes in both HR-positive and TNBC patients. Mechanistically, BDNF-AS acts as a molecular scaffold to promote RNH1 protein degradation via TRIM21-mediated ubiquitination of RNH1 at K225. Subsequently, BDNF-AS abolishes RNH1-regulated and RISC-mediated mTOR mRNA decay, therefore sustaining the activation of mTOR signaling. Importantly, mTOR inhibitor, but not PI3K inhibitor, could reverse tamoxifen resistance induced by the overexpression of BDNF-AS. These results point toward a master regulatory role of an enhancer-activated cascade of BDNF-AS/RNH1/TRIM21/mTOR in endocrine resistance and malignant progression of breast cancer."	1
"32234475"	"Divergent Roles for Macrophage C-type Lectin Receptors, Dectin-1 and Mannose Receptors, in the Intestinal Inflammatory Response.Colonic macrophages are considered to be major effectors of inflammatory bowel diseases (IBDs) and the control of gut inflammation through C-type lectin receptors is an emerging concept. We show that during colitis, the loss of dectin-1 on myeloid cells prevents intestinal inflammation, while the lack of mannose receptor (MR) exacerbates it. A marked increase in dectin-1 expression in dextran sulfate sodium (DSS)-exposed MR-deficient mice supports the critical contribution of dectin-1 to colitis outcome. Dectin-1 is crucial for Ly6C<sup>high</sup>CCR2<sup>high</sup> monocyte population enrichment in the blood and their recruitment to inflamed colon as precursors of inflammatory macrophages. Dectin-1 also promotes inflammasome-dependent interleukin-1β (IL-1β) secretion through leukotriene B4 production. Interestingly, colonic inflammation is associated with a concomitant overexpression of dectin-1/CCL2/LTA4H and downregulation of MR on macrophages from IBD patients. Thus, MR and dectin-1 on macrophages are important mucosal inflammatory regulators that contribute to the intestinal inflammation."	0
"32029453"	"Nuclear PARPs and genome integrity.Effective maintenance and stability of our genomes is essential for normal cell division, tissue homeostasis, and cellular and organismal fitness. The processes of chromosome replication and segregation require continual surveillance to insure fidelity. Accurate and efficient repair of DNA damage preserves genome integrity, which if lost can lead to multiple diseases, including cancer. Poly(ADP-ribose) a dynamic and reversible posttranslational modification and the enzymes that catalyze it (PARP1, PARP2, tankyrase 1, and tankyrase 2) function to maintain genome stability through diverse mechanisms. Here we review the role of these enzymes and the modification in genome repair, replication, and resolution in human cells."	0
"30853400"	"FIP200 Claw Domain Binding to p62 Promotes Autophagosome Formation at Ubiquitin Condensates.The autophagy cargo receptor p62 facilitates the condensation of misfolded, ubiquitin-positive proteins and their degradation by autophagy, but the molecular mechanism of p62 signaling to the core autophagy machinery is unclear. Here, we show that disordered residues 326-380 of p62 directly interact with the C-terminal region (CTR) of FIP200. Crystal structure determination shows that the FIP200 CTR contains a dimeric globular domain that we designated the ""Claw"" for its shape. The interaction of p62 with FIP200 is mediated by a positively charged pocket in the Claw, enhanced by p62 phosphorylation, mutually exclusive with the binding of p62 to LC3B, and it promotes degradation of ubiquitinated cargo by autophagy. Furthermore, the recruitment of the FIP200 CTR slows the phase separation of ubiquitinated proteins by p62 in a reconstituted system. Our data provide the molecular basis for a crosstalk between cargo condensation and autophagosome formation."	1
"30704899"	"Pacer Is a Mediator of mTORC1 and GSK3-TIP60 Signaling in Regulation of Autophagosome Maturation and Lipid Metabolism.mTORC1 and GSK3 play critical roles in early stages of (macro)autophagy, but how they regulate late steps of autophagy remains poorly understood. Here we show that mTORC1 and GSK3-TIP60 signaling converge to modulate autophagosome maturation through Pacer, an autophagy regulator that was identified in our recent study. Hepatocyte-specific Pacer knockout in mice results in impaired autophagy flux, glycogen and lipid accumulation, and liver fibrosis. Under nutrient-rich conditions, mTORC1 phosphorylates Pacer at serine157 to disrupt the association of Pacer with Stx17 and the HOPS complex and thus abolishes Pacer-mediated autophagosome maturation. Importantly, dephosphorylation of Pacer under nutrient-deprived conditions promotes TIP60-mediated Pacer acetylation, which facilitates HOPS complex recruitment and is required for autophagosome maturation and lipid droplet clearance. This work not only identifies Pacer as a regulator in hepatic autophagy and liver homeostasis in vivo but also reveals a signal integration mechanism involved in late stages of autophagy and lipid metabolism."	1
"31676232"	"PRIMPOL-Mediated Adaptive Response Suppresses Replication Fork Reversal in BRCA-Deficient Cells.Acute treatment with replication-stalling chemotherapeutics causes reversal of replication forks. BRCA proteins protect reversed forks from nucleolytic degradation, and their loss leads to chemosensitivity. Here, we show that fork degradation is no longer detectable in BRCA1-deficient cancer cells exposed to multiple cisplatin doses, mimicking a clinical treatment regimen. This effect depends on increased expression and chromatin loading of PRIMPOL and is regulated by ATR activity. Electron microscopy and single-molecule DNA fiber analyses reveal that PRIMPOL rescues fork degradation by reinitiating DNA synthesis past DNA lesions. PRIMPOL repriming leads to accumulation of ssDNA gaps while suppressing fork reversal. We propose that cells adapt to repeated cisplatin doses by activating PRIMPOL repriming under conditions that would otherwise promote pathological reversed fork degradation. This effect is generalizable to other conditions of impaired fork reversal (e.g., SMARCAL1 loss or PARP inhibition) and suggests a new strategy to modulate cisplatin chemosensitivity by targeting the PRIMPOL pathway."	1
"31677974"	"Control of RNA Pol II Speed by PNUTS-PP1 and Spt5 Dephosphorylation Facilitates Termination by a ""Sitting Duck Torpedo"" Mechanism.Control of transcription speed, which influences many co-transcriptional processes, is poorly understood. We report that PNUTS-PP1 phosphatase is a negative regulator of RNA polymerase II (Pol II) elongation rate. The PNUTS W401A mutation, which disrupts PP1 binding, causes genome-wide acceleration of transcription associated with hyper-phosphorylation of the Spt5 elongation factor. Immediately downstream of poly(A) sites, Pol II decelerates from >2 kb/min to <1 kb/min, which correlates with Spt5 dephosphorylation. Pol II deceleration and Spt5 dephosphorylation require poly(A) site recognition and the PNUTS-PP1 complex, which is in turn necessary for transcription termination. These results lead to a model for termination, the ""sitting duck torpedo"" mechanism, where poly(A) site-dependent deceleration caused by PNUTS-PP1 and Spt5 dephosphorylation is required to convert Pol II into a viable target for the Xrn2 terminator exonuclease. Spt5 and its bacterial homolog NusG therefore have related functions controlling kinetic competition between RNA polymerases and the termination factors that pursue them."	1
"32783943"	"Acetylation Stabilizes Phosphoglycerate Dehydrogenase by Disrupting the Interaction of E3 Ligase RNF5 to Promote Breast Tumorigenesis.Phosphoglycerate dehydrogenase (PHGDH) is the first enzyme in the serine synthesis pathway in which it is also the rate-limiting enzyme. It is significantly upregulated in many cancers, especially breast cancer. However, the posttranslational mechanism of PHGDH upregulation in breast cancer is unknown. In this study, we find that RNF5, an E3 ubiquitin ligase, is essential for the degradation of PHGDH protein. PHGDH is degraded by RNF5 to prevent the proliferation of breast cancer cells. The acetylation of PHGDH at K58 is able to disrupt the interaction of RNF5-PHGDH and promote the proliferation of breast cancer cells. Tip60 and SIRT2 regulate the reversible acetylation modification of PHGDH in response to glucose alteration. Moreover, PHGDH is significantly upregulated in samples of human breast cancer and is associated with decreased RNF5 expression. This implies a potential therapeutic target through the interference interaction of PHGDH-RNF5 to degrade PHGDH in breast cancer."	1
"32402276"	"S-phase Enriched Non-coding RNAs Regulate Gene Expression and Cell Cycle Progression.Many proteins that are needed for progression through S-phase are produced from transcripts that peak in the S-phase, linking temporal expression of those proteins to the time that they are required in cell cycle. Here, we explore the potential roles of long non-coding RNAs in cell cycle progression. We use a sensitive click-chemistry approach to isolate nascent RNAs in a human cell line, and we identify more than 900 long non-coding RNAs (lncRNAs) whose synthesis peaks during the S-phase. More than 200 of these are long intergenic non-coding RNAs (lincRNAs) with S-phase-specific expression. We characterize three of these lincRNAs by knockdown and find that all three lincRNAs are required for appropriate S-phase progression. We infer that non-coding RNAs are key regulatory effectors during the cell cycle, acting on distinct regulatory networks, and herein, we provide a large catalog of candidate cell-cycle regulatory RNAs."	0
