"pmid"	"text"	"hit"
"32580946"	"Muscarinic-dependent phosphorylation of the cardiac ryanodine receptor by protein kinase G is mediated by PI3K-AKT-nNOS signaling.Post-translational modifications of proteins involved in calcium handling in myocytes, such as the cardiac ryanodine receptor (RyR2), critically regulate cardiac contractility. Recent studies have suggested that phosphorylation of RyR2 by protein kinase G (PKG) might contribute to the cardioprotective effects of cholinergic stimulation. However, the specific mechanisms underlying these effects remain unclear. Here, using murine ventricular myocytes, immunoblotting, proximity ligation as-says, and nitric oxide imaging, we report that phosphorylation of Ser-2808 in RyR2 induced by the muscarinic receptor agonist carbachol is mediated by a signaling axis comprising phosphoinositide 3-phosphate kinase, Akt Ser/Thr kinase, nitric oxide synthase 1, nitric oxide, soluble guanylate cyclase, cyclic GMP (cGMP), and PKG. We found that this signaling pathway is compartmentalized in myocytes, as it was distinct from atrial natriuretic peptide receptor-cGMP-PKG-RyR2 Ser-2808 signaling and independent of muscarinic-induced phosphorylation of Ser-239 in vasodilator-stimulated phosphoprotein. These results provide detailed insights into muscarinic-induced PKG signaling and the mediators that regulate cardiac RyR2 phosphorylation critical for cardiovascular function."	1
"32160539"	"Telomerase Repairs Collapsed Replication Forks at Telomeres.Telomeres are difficult-to-replicate sites whereby replication itself may threaten telomere integrity. We investigate, in fission yeast, telomere replication dynamics in telomerase-negative cells to unmask problems associated with telomere replication. Two-dimensional gel analysis reveals that replication of telomeres is severely impaired and correlates with an accumulation of replication intermediates that arises from stalled and collapsed forks. In the absence of telomerase, Rad51, Mre11-Rad50-Nbs1 (MRN) complex, and its co-factor CtIP<sup>Ctp1</sup> become critical to maintain telomeres, indicating that homologous recombination processes these intermediates to facilitate fork restart. We further show that a catalytically dead mutant of telomerase prevents Ku recruitment to telomeres, suggesting that telomerase and Ku both compete for the binding of telomeric-free DNA ends that are likely to originate from a reversed fork. We infer that Ku removal at collapsed telomeric forks allows telomerase to repair broken telomeres, thereby shielding telomeres from homologous recombination."	0
"32527725"	"Mechanistic insights into the dual activities of the single active site of l-lysine oxidase/monooxygenase from <i>Pseudomonas</i> sp. AIU 813.l-Lysine oxidase/monooxygenase (l-LOX/MOG) from <i>Pseudomonas</i> sp. AIU 813 catalyzes the mixed bioconversion of l-amino acids, particularly l-lysine, yielding an amide and carbon dioxide by an oxidative decarboxylation (<i>i.e.</i> apparent monooxygenation), as well as oxidative deamination (hydrolysis of oxidized product), resulting in α-keto acid, hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>), and ammonia. Here, using high-resolution MS and monitoring transient reaction kinetics with stopped-flow spectrophotometry, we identified the products from the reactions of l-lysine and l-ornithine, indicating that besides decarboxylating imino acids (<i>i.e.</i> 5-aminopentanamide from l-lysine), l-LOX/MOG also decarboxylates keto acids (5-aminopentanoic acid from l-lysine and 4-aminobutanoic acid from l-ornithine). The reaction of reduced enzyme and oxygen generated an imino acid and H<sub>2</sub>O<sub>2</sub>, with no detectable C4a-hydroperoxyflavin. Single-turnover reactions in which l-LOX/MOG was first reduced by l-lysine to form imino acid before mixing with various compounds revealed that under anaerobic conditions, only hydrolysis products are present. Similar results were obtained upon H<sub>2</sub>O<sub>2</sub> addition after enzyme denaturation. H<sub>2</sub>O<sub>2</sub> addition to active l-LOX/MOG resulted in formation of more 5-aminopentanoic acid, but not 5-aminopentamide, suggesting that H<sub>2</sub>O<sub>2</sub> generated from l-LOX/MOG <i>in situ</i> can result in decarboxylation of the imino acid, yielding an amide product, and extra H<sub>2</sub>O<sub>2</sub> resulted in decarboxylation only of keto acids. Molecular dynamics simulations and detection of charge transfer species suggested that interactions between the substrate and its binding site on l-LOX/MOG are important for imino acid decarboxylation. Structural analysis indicated that the flavoenzyme oxidases catalyzing decarboxylation of an imino acid all share a common plug loop configuration that may facilitate this decarboxylation."	0
"30554948"	"The F-Box Domain-Dependent Activity of EMI1 Regulates PARPi Sensitivity in Triple-Negative Breast Cancers.The BRCA1-BRCA2-RAD51 axis is essential for homologous recombination repair (HRR) and is frequently disrupted in breast cancers. PARP inhibitors (PARPis) are used clinically to treat BRCA-mutated breast tumors. Using a genetic screen, we identified EMI1 as a modulator of PARPi sensitivity in triple-negative breast cancer (TNBC) cells. This function requires the F-box domain of EMI1, through which EMI1 assembles a canonical SCF ubiquitin ligase complex that constitutively targets RAD51 for degradation. In response to genotoxic stress, CHK1-mediated phosphorylation of RAD51 counteracts EMI1-dependent degradation by enhancing RAD51's affinity for BRCA2, leading to RAD51 accumulation. Inhibition of RAD51 degradation restores HRR in BRCA1-depleted cells. Human breast cancer samples display an inverse correlation between EMI1 and RAD51 protein levels. A subset of BRCA1-deficient TNBC cells develop resistance to PARPi by downregulating EMI1 and restoring RAD51-dependent HRR. Notably, reconstitution of EMI1 expression reestablishes PARPi sensitivity both in cellular systems and in an orthotopic mouse model."	1
"31704183"	"Tunability of DNA Polymerase Stability during Eukaryotic DNA Replication.Structural and biochemical studies have revealed the basic principles of how the replisome duplicates genomic DNA, but little is known about its dynamics during DNA replication. We reconstitute the 34 proteins needed to form the S. cerevisiae replisome and show how changing local concentrations of the key DNA polymerases tunes the ability of the complex to efficiently recycle these proteins or to dynamically exchange them. Particularly, we demonstrate redundancy of the Pol α-primase DNA polymerase activity in replication and show that Pol α-primase and the lagging-strand Pol δ can be re-used within the replisome to support the synthesis of large numbers of Okazaki fragments. This unexpected malleability of the replisome might allow it to deal with barriers and resource challenges during replication of large genomes."	0
"32553169"	"Proline-Rich Motifs Control G2-CDK Target Phosphorylation and Priming an Anchoring Protein for Polo Kinase Localization.The hydrophobic patch (hp), a docking pocket on cyclins of CDKs (cyclin-dependent kinases), has been thought to accommodate a single short linear motif (SLiM), the ""RxL or Cy"" docking motif. Here we show that hp can bind different motifs with high specificity. We identify a PxxPxF motif that is necessary for G2-cyclin Clb3 function in S. cerevisiae, and that mediates Clb3-Cdk1 phosphorylation of Ypr174c (proposed name: Cdc5 SPB anchor-Csa1) to regulate the localization of Polo kinase Cdc5. Similar motifs exist in other Clb3-Cdk1 targets. Our work completes the set of docking specificities for the four major cyclins: LP, RxL, PxxPxF, and LxF motifs for G1-, S-, G2-, and M-phase cyclins, respectively. Further, we show that variations in motifs can change their specificity for human cyclins. This diversity could provide complexity for the encoding of CDK thresholds to achieve ordered cell-cycle phosphorylation."	0
"32846131"	"Real-Time In-Cell NMR Reveals the Intracellular Modulation of GTP-Bound Levels of RAS.The small guanosine triphosphatase (GTPase) RAS serves as a molecular switch in signal transduction, and its mutation and aberrant activation are implicated in tumorigenesis. Here, we perform real-time, in-cell nuclear magnetic resonance (NMR) analyses of non-farnesylated RAS to measure time courses of the fraction of the active GTP-bound form (fGTP) within cytosol of live mammalian cells. The observed intracellular fGTP is significantly lower than that measured in vitro for wild-type RAS as well as oncogenic mutants, due to both decrease of the guanosine diphosphate (GDP)-GTP exchange rate (k<sub>ex</sub>) and increase of GTP hydrolysis rate (k<sub>hy</sub>). In vitro reconstitution experiments show that highly viscous environments promote a reduction of k<sub>ex</sub>, whereas the increase of k<sub>hy</sub> is stimulated by unidentified cytosolic proteins. This study demonstrates the power of in-cell NMR to directly detect the GTP-bound levels of RAS in mammalian cells, thereby revealing that the k<sub>hy</sub> and k<sub>ex</sub> of RAS are modulated by various intracellular factors."	0
"32492431"	"Cas12a Base Editors Induce Efficient and Specific Editing with Low DNA Damage Response.The advent of base editors (BEs) holds great potential for correcting pathogenic-related point mutations to treat relevant diseases. However, Cas9 nickase (nCas9)-derived BEs lead to DNA double-strand breaks, which can trigger unwanted DNA damage response (DDR). Here, we show that the original version of catalytically dead Cas12a (dCas12a)-conjugated BEs induce a basal level of DNA breaks and minimally activate DDR proteins, including H2AX, ATM, ATR, and p53. By fusing dCas12a with engineered human apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A (APOBEC3A), we further develop the BEACON (base editing induced by human APOBEC3A and Cas12a without DNA break) system to achieve enhanced deamination efficiency and editing specificity. Efficient C-to-T editing is achieved by BEACON in mammalian cells at levels comparable to AncBE4max, with only low levels of DDR and minimal RNA off-target mutations. Importantly, BEACON induces in vivo base editing in mouse embryos, and targeted C-to-T conversions are detected in F0 mice."	0
"32814054"	"Mn<sup>2+</sup> Directly Activates cGAS and Structural Analysis Suggests Mn<sup>2+</sup> Induces a Noncanonical Catalytic Synthesis of 2'3'-cGAMP.DNA binding allosterically activates the cytosolic DNA sensor cGAS (cyclic GMP-AMP [cGAMP] synthase) to synthesize 2'3'-cGAMP, using Mg<sup>2+</sup> as the metal cofactor that catalyzes two nucleotidyl-transferring reactions. We previously found that Mn<sup>2+</sup> potentiates cGAS activation, but the underlying mechanism remains unclear. Here, we report that Mn<sup>2+</sup> directly activates cGAS. Structural analysis reveals that Mn<sup>2+</sup>-activated cGAS undergoes globally similar conformational changes to DNA-activated cGAS but forms a unique η1 helix to widen the catalytic pocket, allowing substrate entry and cGAMP synthesis. Strikingly, in Mn<sup>2+</sup>-activated cGAS, the linear intermediates pppGpG and pGpA take an inverted orientation in the active pocket, suggesting a noncanonical but accelerated cGAMP cyclization without substrate flip-over. Moreover, unlike the octahedral coordination around Mg<sup>2+</sup>, the two catalytic Mn<sup>2+</sup> are coordinated by triphosphate moiety of the inverted substrate, independent of the catalytic triad residues. Our findings thus uncover Mn<sup>2+</sup> as a cGAS activator that initiates noncanonical 2'3'-cGAMP synthesis."	1
"31604602"	"Cas9 Allosteric Inhibition by the Anti-CRISPR Protein AcrIIA6.In the arms race against bacteria, bacteriophages have evolved diverse anti-CRISPR proteins (Acrs) that block CRISPR-Cas immunity. Acrs play key roles in the molecular coevolution of bacteria with their predators, use a variety of mechanisms of action, and provide tools to regulate Cas-based genome manipulation. Here, we present structural and functional analyses of AcrIIA6, an Acr from virulent phages, exploring its unique anti-CRISPR action. Our cryo-EM structures and functional data of AcrIIA6 binding to Streptococcus thermophilus Cas9 (St1Cas9) show that AcrIIA6 acts as an allosteric inhibitor and induces St1Cas9 dimerization. AcrIIA6 reduces St1Cas9 binding affinity for DNA and prevents DNA binding within cells. The PAM and AcrIIA6 recognition sites are structurally close and allosterically linked. Mechanistically, AcrIIA6 affects the St1Cas9 conformational dynamics associated with PAM binding. Finally, we identify a natural St1Cas9 variant resistant to AcrIIA6 illustrating Acr-driven mutational escape and molecular diversification of Cas9 proteins."	0
